shipment_id,order_id,supplier_id,ship_date,estimated_delivery,actual_delivery,delivery_status,delivery_delay_days,carrier,shipping_cost
SHP-00259,ORD-00198,SUP-0169,2025-08-18,2025-08-23,,Delayed,,Safexpress,91.82
SHP-00260,ORD-01442,SUP-0128,2024-04-11,2024-04-22,2024-04-25,Delivered,3,Ecom Express,88.94
SHP-00261,ORD-01378,SUP-0103,2024-08-23,2024-08-28,,Delayed,,DTDC,92.09
SHP-00262,ORD-01240,SUP-0008,2024-01-11,2024-01-24,,Pending,,Ecom Express,20.9
SHP-00263,ORD-00487,SUP-0061,2025-05-23,2025-05-27,,In Transit,,Ecom Express,37.91
SHP-00264,ORD-01438,SUP-0120,2025-05-13,2025-05-27,,Cancelled,,DTDC,240.33
SHP-00265,ORD-00081,SUP-0174,2025-12-27,2026-01-11,,In Transit,,BlueDart,58.04
SHP-00266,ORD-01117,SUP-0021,2024-04-24,2024-05-04,,In Transit,,Xpressbees,20.47
SHP-00267,ORD-01078,SUP-0059,2025-09-29,2025-10-13,,Cancelled,,Ecom Express,236.41
SHP-00268,ORD-00630,SUP-0175,2025-11-21,2025-12-04,,Delayed,,DTDC,188.54
SHP-00269,ORD-00285,SUP-0192,2024-05-02,2024-05-06,2024-05-10,Delivered,4,Ecom Express,237.26
SHP-00270,ORD-00867,SUP-0056,2024-09-07,2024-09-22,,Delayed,,Delhivery,26.48
SHP-00271,ORD-01242,SUP-0005,2024-07-29,2024-08-01,,In Transit,,Shadowfax,128.45
SHP-00272,ORD-00332,SUP-0188,2024-09-03,2024-09-18,2024-09-21,Delivered,3,DTDC,86.91
SHP-00273,ORD-01191,SUP-0137,2024-09-22,2024-09-24,2024-09-24,Delivered,0,Delhivery,129.81
SHP-00274,ORD-00039,SUP-0141,2024-09-06,2024-09-12,,Delayed,,Ecom Express,180.24
SHP-00275,ORD-01388,SUP-0129,2024-02-08,2024-02-12,2024-02-10,Delivered,-2,BlueDart,79.62
SHP-00276,ORD-01447,SUP-0115,2024-09-15,2024-09-25,2024-09-23,Delivered,-2,Delhivery,38.01
SHP-00277,ORD-00537,SUP-0141,2025-03-08,2025-03-16,2025-03-23,Delivered,7,Xpressbees,135.57
SHP-00278,ORD-01314,SUP-0195,2025-10-09,2025-10-13,,In Transit,,Delhivery,73.98
SHP-00279,ORD-01243,SUP-0003,2025-08-10,2025-08-25,,Delayed,,BlueDart,167.86
SHP-00280,ORD-00043,SUP-0080,2024-10-13,2024-10-25,,In Transit,,Safexpress,126.42
SHP-00281,ORD-00437,SUP-0034,2024-07-28,2024-08-03,,Pending,,Delhivery,15.63
SHP-00282,ORD-00740,SUP-0076,2024-03-08,2024-03-22,2024-03-19,Delivered,-3,DTDC,101.8
SHP-00283,ORD-00135,SUP-0052,2024-01-13,2024-01-16,,Pending,,Delhivery,62.43
SHP-00284,ORD-00751,SUP-0078,2024-12-07,2024-12-18,,Delayed,,BlueDart,16.59
SHP-00285,ORD-00968,SUP-0060,2024-05-30,2024-06-11,,In Transit,,Shadowfax,240.22
SHP-00286,ORD-00867,SUP-0169,2025-12-10,2025-12-14,,Delayed,,Delhivery,124.83
SHP-00287,ORD-00158,SUP-0196,2025-12-28,2026-01-11,,Cancelled,,Shadowfax,223.35
SHP-00288,ORD-01146,SUP-0184,2025-08-19,2025-08-28,,Cancelled,,Shadowfax,227.02
SHP-00289,ORD-00930,SUP-0189,2025-05-17,2025-05-26,,Delayed,,Xpressbees,229.87
SHP-00290,ORD-00131,SUP-0119,2024-08-10,2024-08-19,,Cancelled,,Safexpress,23.73
SHP-00291,ORD-00437,SUP-0137,2025-09-13,2025-09-16,,Cancelled,,Shadowfax,59.69
SHP-00292,ORD-00935,SUP-0072,2025-10-20,2025-10-22,,In Transit,,Shadowfax,121.76
SHP-00293,ORD-00080,SUP-0151,2024-10-08,2024-10-11,,Pending,,Ecom Express,83.18
SHP-00294,ORD-01027,SUP-0022,2025-02-23,2025-03-09,,Cancelled,,Safexpress,185.45
SHP-00295,ORD-00935,SUP-0138,2024-08-16,2024-08-19,,Pending,,Shadowfax,225.21
SHP-00296,ORD-00063,SUP-0104,2025-05-25,2025-06-06,,Cancelled,,DTDC,81.37
SHP-00297,ORD-01388,SUP-0163,2024-02-11,2024-02-23,,In Transit,,DTDC,31.2
SHP-00298,ORD-00993,SUP-0159,2024-11-22,2024-11-29,,Cancelled,,BlueDart,227.26
SHP-00299,ORD-00218,SUP-0170,2025-07-06,2025-07-11,,Pending,,Xpressbees,181.47
SHP-00300,ORD-00068,SUP-0079,2025-01-05,2025-01-20,,Pending,,Shadowfax,51.85
SHP-00301,ORD-00483,SUP-0021,2025-08-20,2025-08-29,,In Transit,,Safexpress,143.07
SHP-00302,ORD-00516,SUP-0133,2024-02-01,2024-02-06,,Delayed,,Ecom Express,212.62
SHP-00303,ORD-00935,SUP-0190,2024-01-09,2024-01-11,,In Transit,,Xpressbees,241.07
SHP-00304,ORD-00153,SUP-0144,2024-12-29,2025-01-07,,In Transit,,Safexpress,73.38
SHP-00305,ORD-00113,SUP-0175,2025-12-04,2025-12-11,,Pending,,Safexpress,90.32
SHP-00306,ORD-00690,SUP-0073,2024-08-12,2024-08-18,,Pending,,DTDC,213.11
SHP-00307,ORD-00922,SUP-0106,2025-06-12,2025-06-24,,Cancelled,,Xpressbees,119.66
SHP-00308,ORD-01031,SUP-0151,2025-06-22,2025-07-06,,Cancelled,,BlueDart,162.86
SHP-00309,ORD-01495,SUP-0190,2024-05-18,2024-06-01,2024-05-29,Delivered,-3,Delhivery,116.61
SHP-00310,ORD-00287,SUP-0197,2025-11-26,2025-12-02,2025-11-29,Delivered,-3,DTDC,156.54
SHP-00311,ORD-01013,SUP-0076,2024-03-10,2024-03-24,2024-03-23,Delivered,-1,Xpressbees,30.88
SHP-00312,ORD-00909,SUP-0178,2025-01-10,2025-01-20,,Delayed,,Delhivery,223.66
SHP-00313,ORD-00573,SUP-0142,2024-04-07,2024-04-20,2024-04-21,Delivered,1,Xpressbees,105.17
SHP-00314,ORD-00168,SUP-0070,2025-06-18,2025-06-24,,Delayed,,BlueDart,240.18
SHP-00315,ORD-00259,SUP-0128,2024-10-26,2024-11-10,,Pending,,Delhivery,175.45
SHP-00316,ORD-01153,SUP-0022,2025-07-15,2025-07-24,,Delayed,,Delhivery,202.28
SHP-00317,ORD-00241,SUP-0200,2025-05-29,2025-06-07,,Delayed,,Delhivery,61.58
SHP-00318,ORD-00322,SUP-0013,2024-11-30,2024-12-14,,Delayed,,Safexpress,74.89
SHP-00319,ORD-00602,SUP-0035,2024-08-17,2024-08-26,2024-08-26,Delivered,0,Ecom Express,210.83
SHP-00320,ORD-01351,SUP-0158,2025-03-09,2025-03-20,,Cancelled,,DTDC,123.31
SHP-00321,ORD-00526,SUP-0164,2025-09-07,2025-09-21,2025-09-21,Delivered,0,DTDC,18.98
SHP-00322,ORD-00467,SUP-0114,2025-06-09,2025-06-23,2025-06-27,Delivered,4,Shadowfax,150.73
SHP-00323,ORD-01025,SUP-0067,2025-08-27,2025-08-31,,Cancelled,,Xpressbees,211.16
SHP-00324,ORD-00330,SUP-0073,2024-10-17,2024-10-19,,Delayed,,DTDC,134.21
SHP-00325,ORD-00216,SUP-0024,2025-11-27,2025-11-29,,In Transit,,Shadowfax,109.37
SHP-00326,ORD-00591,SUP-0022,2024-09-07,2024-09-12,,In Transit,,DTDC,69.75
SHP-00327,ORD-00732,SUP-0096,2025-12-06,2025-12-21,,Delayed,,Delhivery,129.98
SHP-00328,ORD-00256,SUP-0153,2024-06-19,2024-06-26,,Delayed,,Delhivery,224.9
SHP-00329,ORD-00973,SUP-0062,2024-02-28,2024-03-04,2024-03-05,Delivered,1,DTDC,117.77
SHP-00330,ORD-00406,SUP-0175,2024-06-07,2024-06-15,,Pending,,Xpressbees,77.52
SHP-00331,ORD-01411,SUP-0036,2024-12-04,2024-12-12,,In Transit,,Ecom Express,27.4
SHP-00332,ORD-01330,SUP-0032,2025-11-18,2025-11-23,,In Transit,,Delhivery,206.3
SHP-00333,ORD-00529,SUP-0007,2024-04-21,2024-04-24,2024-04-30,Delivered,6,Safexpress,38.69
SHP-00334,ORD-00777,SUP-0064,2024-01-12,2024-01-15,,Delayed,,Safexpress,103.49
SHP-00335,ORD-01195,SUP-0093,2024-07-27,2024-08-10,2024-08-07,Delivered,-3,DTDC,36.51
SHP-00336,ORD-00155,SUP-0042,2025-11-22,2025-11-28,,Pending,,Safexpress,216.83
SHP-00337,ORD-00897,SUP-0194,2025-10-31,2025-11-13,,In Transit,,Ecom Express,204.99
SHP-00338,ORD-01148,SUP-0199,2024-09-28,2024-10-05,,In Transit,,Xpressbees,34.38
SHP-00339,ORD-00839,SUP-0196,2024-04-21,2024-05-03,,Pending,,Shadowfax,144.86
SHP-00340,ORD-01252,SUP-0037,2024-11-14,2024-11-27,,Pending,,Xpressbees,199.07
SHP-00341,ORD-00175,SUP-0085,2025-06-30,2025-07-15,,Pending,,Ecom Express,56.37
SHP-00342,ORD-00649,SUP-0136,2025-07-02,2025-07-10,,In Transit,,BlueDart,181.36
SHP-00343,ORD-01280,SUP-0070,2025-01-12,2025-01-22,2025-01-20,Delivered,-2,DTDC,154.95
SHP-00344,ORD-01346,SUP-0035,2024-11-14,2024-11-18,2024-11-18,Delivered,0,BlueDart,90.1
SHP-00345,ORD-00759,SUP-0090,2025-08-30,2025-09-14,,In Transit,,Shadowfax,18.71
SHP-00346,ORD-00423,SUP-0044,2025-11-16,2025-11-28,,Pending,,Shadowfax,131.88
SHP-00347,ORD-00689,SUP-0012,2024-01-29,2024-02-05,,Delayed,,DTDC,126.78
SHP-00348,ORD-01364,SUP-0162,2025-06-04,2025-06-15,2025-06-22,Delivered,7,DTDC,115.51
SHP-00349,ORD-00434,SUP-0076,2025-01-04,2025-01-18,,Pending,,BlueDart,92.74
SHP-00350,ORD-00575,SUP-0126,2025-12-21,2025-12-30,,Delayed,,Xpressbees,67.01
SHP-00351,ORD-00561,SUP-0151,2025-08-02,2025-08-08,,Delayed,,BlueDart,13.31
SHP-00352,ORD-00875,SUP-0003,2024-10-16,2024-10-18,2024-10-21,Delivered,3,Xpressbees,144.23
SHP-00353,ORD-01047,SUP-0140,2024-05-18,2024-05-24,,Delayed,,Xpressbees,35.85
SHP-00354,ORD-01376,SUP-0094,2025-04-13,2025-04-27,,Pending,,DTDC,55.93
SHP-00355,ORD-00948,SUP-0144,2025-08-30,2025-09-13,,In Transit,,Ecom Express,226.29
SHP-00356,ORD-00595,SUP-0150,2025-10-30,2025-11-01,,Delayed,,Delhivery,39.23
SHP-00357,ORD-00046,SUP-0093,2024-09-17,2024-09-26,2024-09-25,Delivered,-1,Ecom Express,203.41
SHP-00358,ORD-00726,SUP-0012,2024-07-21,2024-07-29,,Cancelled,,Delhivery,190.14
SHP-00359,ORD-00124,SUP-0057,2025-08-10,2025-08-25,,Cancelled,,BlueDart,211.39
SHP-00360,ORD-00518,SUP-0037,2025-04-24,2025-05-03,2025-05-09,Delivered,6,Xpressbees,238.29
SHP-00361,ORD-00739,SUP-0076,2025-11-15,2025-11-28,2025-12-02,Delivered,4,BlueDart,35.47
SHP-00362,ORD-00808,SUP-0096,2024-02-28,2024-03-03,,In Transit,,Delhivery,164.03
SHP-00363,ORD-00474,SUP-0064,2025-11-27,2025-12-03,,Cancelled,,Safexpress,160.48
SHP-00364,ORD-01042,SUP-0040,2025-06-27,2025-07-03,,Pending,,Xpressbees,141.42
SHP-00365,ORD-00733,SUP-0024,2024-06-08,2024-06-16,,In Transit,,DTDC,213.54
SHP-00366,ORD-01212,SUP-0186,2024-09-27,2024-10-05,,Cancelled,,Ecom Express,87.35
SHP-00367,ORD-00628,SUP-0160,2025-09-11,2025-09-24,,Pending,,Ecom Express,211.47
SHP-00368,ORD-01039,SUP-0186,2024-04-28,2024-05-07,,In Transit,,BlueDart,182.78
SHP-00369,ORD-01010,SUP-0187,2025-12-27,2026-01-08,,Pending,,DTDC,166.39
SHP-00370,ORD-00295,SUP-0034,2025-03-25,2025-04-04,2025-04-04,Delivered,0,DTDC,40.54
SHP-00371,ORD-01399,SUP-0154,2024-10-13,2024-10-17,2024-10-17,Delivered,0,BlueDart,101.56
SHP-00372,ORD-01364,SUP-0027,2024-05-12,2024-05-20,,Delayed,,Xpressbees,105.12
SHP-00373,ORD-00555,SUP-0071,2025-12-28,2026-01-11,2026-01-18,Delivered,7,Delhivery,73.15
SHP-00374,ORD-00798,SUP-0021,2024-12-10,2024-12-13,,Pending,,BlueDart,140.35
SHP-00375,ORD-00474,SUP-0090,2025-05-31,2025-06-03,2025-06-01,Delivered,-3,Delhivery,234.74
SHP-00376,ORD-01449,SUP-0155,2024-05-14,2024-05-27,,Cancelled,,BlueDart,14.28
SHP-00377,ORD-01331,SUP-0092,2024-10-25,2024-11-05,,Pending,,BlueDart,199.32
SHP-00378,ORD-01078,SUP-0108,2024-05-18,2024-06-01,,Delayed,,Xpressbees,122.97
SHP-00379,ORD-00559,SUP-0054,2024-07-05,2024-07-16,,In Transit,,Ecom Express,176.31
SHP-00380,ORD-00445,SUP-0188,2024-08-22,2024-08-27,,Delayed,,DTDC,37.63
SHP-00381,ORD-00903,SUP-0108,2025-06-16,2025-06-27,,In Transit,,DTDC,187.81
SHP-00382,ORD-00384,SUP-0011,2024-03-22,2024-03-25,,Pending,,Delhivery,38.8
SHP-00383,ORD-00003,SUP-0043,2025-05-16,2025-05-30,,Delayed,,Delhivery,68.08
SHP-00384,ORD-01287,SUP-0134,2025-10-03,2025-10-16,,Pending,,Xpressbees,239.32
SHP-00385,ORD-01166,SUP-0088,2025-11-13,2025-11-27,,Delayed,,BlueDart,219.27
SHP-00386,ORD-00140,SUP-0064,2025-01-04,2025-01-13,,Pending,,Delhivery,242.55
SHP-00387,ORD-00730,SUP-0144,2024-07-04,2024-07-14,2024-07-20,Delivered,6,BlueDart,21.05
SHP-00388,ORD-00929,SUP-0093,2024-08-15,2024-08-27,2024-09-02,Delivered,6,Delhivery,121.7
SHP-00389,ORD-00430,SUP-0059,2024-08-26,2024-09-04,,Delayed,,Delhivery,245.69
SHP-00390,ORD-01254,SUP-0022,2025-05-02,2025-05-08,,In Transit,,Safexpress,81.28
SHP-00391,ORD-00697,SUP-0177,2024-02-22,2024-03-05,,In Transit,,Xpressbees,169.11
SHP-00392,ORD-00765,SUP-0106,2025-09-13,2025-09-23,2025-09-22,Delivered,-1,Shadowfax,180.46
SHP-00393,ORD-00001,SUP-0045,2025-09-14,2025-09-23,2025-09-22,Delivered,-1,Delhivery,142.39
SHP-00394,ORD-01287,SUP-0193,2025-05-04,2025-05-19,2025-05-18,Delivered,-1,Delhivery,133.0
SHP-00395,ORD-00572,SUP-0153,2024-12-21,2024-12-26,,In Transit,,Safexpress,176.42
SHP-00396,ORD-01168,SUP-0054,2025-02-27,2025-03-03,2025-03-03,Delivered,0,Delhivery,204.15
SHP-00397,ORD-01272,SUP-0119,2025-09-30,2025-10-13,,Cancelled,,Ecom Express,33.17
SHP-00398,ORD-00739,SUP-0051,2025-04-01,2025-04-03,,Cancelled,,BlueDart,53.17
SHP-00399,ORD-01129,SUP-0112,2025-06-22,2025-06-24,,Cancelled,,DTDC,5.74
SHP-00400,ORD-01240,SUP-0004,2024-10-16,2024-10-25,2024-10-27,Delivered,2,BlueDart,238.91
SHP-00401,ORD-00573,SUP-0013,2024-05-04,2024-05-06,,In Transit,,Xpressbees,130.74
SHP-00402,ORD-01119,SUP-0090,2025-03-09,2025-03-21,,Delayed,,Shadowfax,176.66
SHP-00403,ORD-00993,SUP-0139,2024-11-28,2024-12-10,,Pending,,Ecom Express,237.63
SHP-00404,ORD-00011,SUP-0193,2025-08-24,2025-09-04,,Pending,,Delhivery,79.4
SHP-00405,ORD-00089,SUP-0113,2024-10-30,2024-11-14,,Cancelled,,BlueDart,225.81
SHP-00406,ORD-00801,SUP-0174,2025-02-26,2025-03-04,,Cancelled,,Xpressbees,36.34
SHP-00407,ORD-00365,SUP-0027,2025-05-28,2025-06-04,,Delayed,,Shadowfax,228.26
SHP-00408,ORD-00590,SUP-0079,2025-12-07,2025-12-09,,In Transit,,DTDC,242.07
SHP-00409,ORD-00463,SUP-0196,2025-10-28,2025-11-03,,Cancelled,,Safexpress,84.37
SHP-00410,ORD-00095,SUP-0038,2025-11-29,2025-12-07,,Pending,,Delhivery,124.31
SHP-00411,ORD-00791,SUP-0155,2024-09-24,2024-09-30,,In Transit,,DTDC,54.29
SHP-00412,ORD-01176,SUP-0115,2024-10-20,2024-10-28,2024-10-31,Delivered,3,Ecom Express,242.32
SHP-00413,ORD-00905,SUP-0178,2025-07-23,2025-08-04,,Cancelled,,Xpressbees,143.09
SHP-00414,ORD-01427,SUP-0115,2025-01-03,2025-01-10,,Cancelled,,Ecom Express,157.05
SHP-00415,ORD-00177,SUP-0112,2024-02-25,2024-03-08,,Delayed,,Xpressbees,162.07
SHP-00416,ORD-00879,SUP-0160,2024-10-23,2024-11-02,2024-11-06,Delivered,4,BlueDart,165.01
SHP-00417,ORD-00922,SUP-0056,2025-07-04,2025-07-11,,Cancelled,,Xpressbees,120.81
SHP-00418,ORD-00149,SUP-0055,2024-06-12,2024-06-23,,Pending,,DTDC,31.83
SHP-00419,ORD-00545,SUP-0038,2024-12-30,2025-01-09,,Cancelled,,Ecom Express,245.63
SHP-00420,ORD-00899,SUP-0001,2025-07-13,2025-07-19,2025-07-23,Delivered,4,Ecom Express,14.62
SHP-00421,ORD-01287,SUP-0089,2025-08-26,2025-09-03,,In Transit,,Delhivery,201.44
SHP-00422,ORD-00916,SUP-0149,2025-01-17,2025-01-31,,Delayed,,BlueDart,246.51
SHP-00423,ORD-01428,SUP-0013,2025-08-26,2025-09-09,,In Transit,,DTDC,242.84
SHP-00424,ORD-00452,SUP-0054,2025-11-15,2025-11-24,,In Transit,,Ecom Express,195.2
SHP-00425,ORD-00242,SUP-0124,2024-05-24,2024-06-01,,Pending,,BlueDart,247.31
SHP-00426,ORD-00317,SUP-0200,2024-09-12,2024-09-14,2024-09-19,Delivered,5,Ecom Express,117.17
SHP-00427,ORD-01037,SUP-0151,2025-08-12,2025-08-26,,Pending,,Delhivery,95.02
SHP-00428,ORD-00291,SUP-0088,2025-12-23,2025-12-27,,Pending,,DTDC,100.15
SHP-00429,ORD-00041,SUP-0186,2024-01-08,2024-01-18,,Cancelled,,DTDC,5.21
SHP-00430,ORD-00684,SUP-0105,2025-05-17,2025-05-22,,Cancelled,,Safexpress,153.41
SHP-00431,ORD-01430,SUP-0019,2024-07-29,2024-08-03,2024-08-04,Delivered,1,DTDC,228.0
SHP-00432,ORD-00504,SUP-0168,2025-10-14,2025-10-21,,Delayed,,BlueDart,35.63
SHP-00433,ORD-01056,SUP-0138,2024-11-26,2024-12-09,,Delayed,,Ecom Express,156.05
SHP-00434,ORD-01392,SUP-0185,2025-09-08,2025-09-23,,Delayed,,DTDC,113.09
SHP-00435,ORD-00057,SUP-0007,2025-05-25,2025-06-02,2025-05-30,Delivered,-3,Xpressbees,71.73
SHP-00436,ORD-00773,SUP-0062,2024-04-11,2024-04-25,,Pending,,BlueDart,218.61
SHP-00437,ORD-00065,SUP-0152,2024-02-22,2024-03-06,,Pending,,Delhivery,183.75
SHP-00438,ORD-01353,SUP-0051,2025-05-14,2025-05-20,,Pending,,Xpressbees,142.16
SHP-00439,ORD-00169,SUP-0129,2025-11-07,2025-11-12,,Delayed,,Safexpress,117.32
SHP-00440,ORD-00382,SUP-0182,2024-03-22,2024-03-31,,Pending,,Xpressbees,201.0
SHP-00441,ORD-00013,SUP-0129,2024-11-28,2024-12-05,,Pending,,Xpressbees,110.13
SHP-00442,ORD-01073,SUP-0139,2024-06-01,2024-06-15,,Pending,,Safexpress,127.37
SHP-00443,ORD-00138,SUP-0130,2024-10-07,2024-10-16,,In Transit,,Ecom Express,221.18
SHP-00444,ORD-01286,SUP-0186,2024-03-06,2024-03-09,,Pending,,Safexpress,153.07
SHP-00445,ORD-01026,SUP-0054,2025-04-26,2025-05-04,,In Transit,,Safexpress,68.27
SHP-00446,ORD-01172,SUP-0035,2024-06-25,2024-07-07,2024-07-06,Delivered,-1,BlueDart,179.87
SHP-00447,ORD-01181,SUP-0041,2025-08-22,2025-09-06,,Cancelled,,Delhivery,81.94
SHP-00448,ORD-00049,SUP-0032,2024-01-15,2024-01-28,,Delayed,,BlueDart,215.99
SHP-00449,ORD-00284,SUP-0131,2025-11-08,2025-11-14,2025-11-15,Delivered,1,Ecom Express,231.13
SHP-00450,ORD-00720,SUP-0124,2025-03-05,2025-03-19,,Delayed,,Delhivery,94.03
SHP-00451,ORD-01366,SUP-0167,2024-09-29,2024-10-12,2024-10-16,Delivered,4,Safexpress,98.07
SHP-00452,ORD-00015,SUP-0141,2024-10-30,2024-11-07,,Pending,,Shadowfax,210.27
SHP-00453,ORD-01182,SUP-0190,2024-03-27,2024-04-04,2024-04-11,Delivered,7,Ecom Express,95.79
SHP-00454,ORD-01338,SUP-0171,2025-02-14,2025-02-28,,Delayed,,Xpressbees,189.2
SHP-00455,ORD-00819,SUP-0111,2025-01-16,2025-01-29,,Delayed,,Xpressbees,103.21
SHP-00456,ORD-00516,SUP-0144,2025-05-07,2025-05-09,,Delayed,,Ecom Express,35.8
SHP-00457,ORD-01025,SUP-0165,2025-11-18,2025-12-03,,Pending,,BlueDart,148.6
SHP-00458,ORD-00637,SUP-0019,2024-12-03,2024-12-07,,Pending,,Xpressbees,94.12
SHP-00459,ORD-00589,SUP-0133,2025-08-09,2025-08-19,,Cancelled,,Xpressbees,134.66
SHP-00460,ORD-01216,SUP-0037,2025-07-25,2025-08-03,,Cancelled,,Xpressbees,93.35
SHP-00461,ORD-00565,SUP-0111,2024-05-25,2024-05-27,,In Transit,,Delhivery,173.3
SHP-00462,ORD-01135,SUP-0044,2025-01-05,2025-01-13,2025-01-19,Delivered,6,Shadowfax,207.58
SHP-00463,ORD-00958,SUP-0135,2025-11-26,2025-12-08,,In Transit,,Xpressbees,197.35
SHP-00464,ORD-00565,SUP-0036,2024-02-05,2024-02-13,2024-02-17,Delivered,4,Ecom Express,106.65
SHP-00465,ORD-00885,SUP-0063,2024-07-26,2024-07-28,,Cancelled,,BlueDart,201.02
SHP-00466,ORD-00180,SUP-0050,2024-09-20,2024-09-22,,In Transit,,Delhivery,138.28
SHP-00467,ORD-00389,SUP-0006,2025-08-03,2025-08-08,,In Transit,,Delhivery,31.58
SHP-00468,ORD-00230,SUP-0006,2025-06-04,2025-06-16,,Pending,,Xpressbees,91.64
SHP-00469,ORD-01028,SUP-0134,2025-06-28,2025-07-05,,Pending,,Xpressbees,83.35
SHP-00470,ORD-00274,SUP-0040,2025-12-14,2025-12-21,,Pending,,Shadowfax,101.21
SHP-00471,ORD-00704,SUP-0106,2024-03-17,2024-03-22,,Pending,,Shadowfax,117.08
SHP-00472,ORD-00519,SUP-0134,2024-12-20,2025-01-02,,Delayed,,BlueDart,82.76
SHP-00473,ORD-00928,SUP-0167,2025-08-08,2025-08-13,,Cancelled,,Shadowfax,116.79
SHP-00474,ORD-00183,SUP-0090,2025-11-03,2025-11-10,,In Transit,,Xpressbees,239.03
SHP-00475,ORD-01265,SUP-0053,2025-03-18,2025-03-30,,In Transit,,DTDC,211.04
SHP-00476,ORD-01459,SUP-0191,2025-08-11,2025-08-24,,Pending,,Shadowfax,112.15
SHP-00477,ORD-00513,SUP-0137,2024-03-10,2024-03-22,,Delayed,,BlueDart,85.12
SHP-00478,ORD-01398,SUP-0154,2025-01-31,2025-02-13,2025-02-11,Delivered,-2,Shadowfax,188.74
SHP-00479,ORD-00228,SUP-0109,2025-03-18,2025-03-24,,In Transit,,Shadowfax,80.1
SHP-00480,ORD-00964,SUP-0051,2025-03-07,2025-03-18,,In Transit,,Xpressbees,201.42
SHP-00481,ORD-01401,SUP-0111,2025-07-03,2025-07-07,,Pending,,Shadowfax,215.7
SHP-00482,ORD-00240,SUP-0049,2025-05-11,2025-05-20,,Cancelled,,Xpressbees,122.94
SHP-00483,ORD-01489,SUP-0034,2025-09-12,2025-09-15,2025-09-13,Delivered,-3,Safexpress,247.07
SHP-00484,ORD-01013,SUP-0015,2024-03-19,2024-04-02,,Cancelled,,Safexpress,197.72
SHP-00485,ORD-01271,SUP-0003,2024-11-16,2024-12-01,,In Transit,,BlueDart,137.31
SHP-00486,ORD-01353,SUP-0033,2025-04-10,2025-04-13,,In Transit,,Delhivery,195.08
SHP-00487,ORD-00749,SUP-0163,2025-10-14,2025-10-25,2025-10-22,Delivered,-3,Ecom Express,225.26
SHP-00488,ORD-01498,SUP-0079,2025-01-26,2025-02-10,,In Transit,,DTDC,246.62
SHP-00489,ORD-00555,SUP-0010,2025-03-03,2025-03-07,,In Transit,,Delhivery,100.72
SHP-00490,ORD-00871,SUP-0061,2025-02-21,2025-03-05,,In Transit,,Shadowfax,56.97
SHP-00491,ORD-01389,SUP-0074,2024-12-27,2025-01-06,2025-01-05,Delivered,-1,BlueDart,184.29
SHP-00492,ORD-00785,SUP-0173,2024-05-11,2024-05-16,,Pending,,Shadowfax,27.38
SHP-00493,ORD-00567,SUP-0165,2024-01-15,2024-01-17,,In Transit,,Xpressbees,81.9
SHP-00494,ORD-01220,SUP-0173,2025-06-23,2025-06-26,,Pending,,Ecom Express,224.02
SHP-00495,ORD-00126,SUP-0077,2024-05-24,2024-06-03,,Pending,,BlueDart,189.49
SHP-00496,ORD-00710,SUP-0095,2024-02-20,2024-02-26,,Delayed,,Delhivery,191.19
SHP-00497,ORD-01230,SUP-0132,2024-08-05,2024-08-09,,In Transit,,Delhivery,214.47
SHP-00498,ORD-01311,SUP-0120,2025-08-01,2025-08-15,,Cancelled,,Delhivery,39.23
SHP-00499,ORD-00553,SUP-0052,2024-01-05,2024-01-19,,Pending,,Delhivery,10.89
SHP-00500,ORD-01270,SUP-0025,2024-01-13,2024-01-22,,Delayed,,Safexpress,141.53
SHP-00501,ORD-00483,SUP-0177,2025-11-24,2025-12-07,,Pending,,BlueDart,234.98
SHP-00502,ORD-00265,SUP-0165,2025-05-15,2025-05-27,,Delayed,,BlueDart,124.93
SHP-00503,ORD-00727,SUP-0102,2024-12-17,2024-12-26,,Pending,,Delhivery,112.2
SHP-00504,ORD-00909,SUP-0087,2024-12-31,2025-01-05,,Delayed,,Ecom Express,80.95
SHP-00505,ORD-00219,SUP-0047,2024-10-22,2024-10-25,,Delayed,,Xpressbees,104.54
SHP-00506,ORD-00217,SUP-0056,2024-12-13,2024-12-24,,In Transit,,DTDC,194.12
SHP-00507,ORD-00262,SUP-0119,2025-09-13,2025-09-17,,Pending,,Safexpress,17.5
SHP-00508,ORD-00285,SUP-0165,2024-03-11,2024-03-13,,Pending,,Delhivery,55.89
SHP-00509,ORD-00522,SUP-0013,2024-08-15,2024-08-26,,In Transit,,Xpressbees,43.61
SHP-00510,ORD-01268,SUP-0085,2025-07-06,2025-07-18,,Cancelled,,Shadowfax,49.33
SHP-00511,ORD-00590,SUP-0056,2025-04-02,2025-04-07,,Delayed,,Safexpress,221.72
SHP-00512,ORD-01158,SUP-0155,2024-03-12,2024-03-23,,In Transit,,DTDC,15.63
SHP-00513,ORD-00922,SUP-0038,2024-04-24,2024-04-27,,Cancelled,,Xpressbees,89.93
SHP-00514,ORD-00497,SUP-0119,2025-08-03,2025-08-10,,Pending,,Safexpress,230.42
SHP-00515,ORD-00590,SUP-0108,2024-07-04,2024-07-18,2024-07-16,Delivered,-2,Safexpress,50.81
SHP-00516,ORD-00364,SUP-0168,2024-02-04,2024-02-19,,Delayed,,Safexpress,169.88
SHP-00517,ORD-01225,SUP-0065,2024-03-31,2024-04-02,2024-04-03,Delivered,1,BlueDart,101.5
